title,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature
Can'tcha Say (You Believe In Me) / Still In Love,Boston,spotify:track:7bMo7aljgbqpiOMSkwgkEN,0.337,0.434,3,-14.403,1,0.0435,0.559,0.000368,0.106,0.175,123.486,audio_features,7bMo7aljgbqpiOMSkwgkEN,https://api.spotify.com/v1/tracks/7bMo7aljgbqpiOMSkwgkEN,https://api.spotify.com/v1/audio-analysis/7bMo7aljgbqpiOMSkwgkEN,312773,4
Hollyann,Boston,spotify:track:5h3OrLvTXxE34EGGSR6t19,0.344,0.397,2,-15.426,1,0.0322,0.143,9.78e-06,0.114,0.232,104.469,audio_features,5h3OrLvTXxE34EGGSR6t19,https://api.spotify.com/v1/tracks/5h3OrLvTXxE34EGGSR6t19,https://api.spotify.com/v1/audio-analysis/5h3OrLvTXxE34EGGSR6t19,313733,4
Be Still,The Fray,spotify:track:3URt4lJQlANOstDBAWQJA7,0.361,0.149,7,-12.066,1,0.0333,0.887,0.0,0.175,0.302,107.607,audio_features,3URt4lJQlANOstDBAWQJA7,https://api.spotify.com/v1/tracks/3URt4lJQlANOstDBAWQJA7,https://api.spotify.com/v1/audio-analysis/3URt4lJQlANOstDBAWQJA7,168853,3
Gotta Serve Somebody,Bob Dylan,spotify:track:760420tYNmNjFgi8bWvbop,0.81,0.526,2,-9.627,1,0.0991,0.431,0.0,0.0841,0.811,95.23,audio_features,760420tYNmNjFgi8bWvbop,https://api.spotify.com/v1/tracks/760420tYNmNjFgi8bWvbop,https://api.spotify.com/v1/audio-analysis/760420tYNmNjFgi8bWvbop,324800,4
Hurricane,Bob Dylan,spotify:track:1lqMLr9Wj7SM2F9AikGcxN,0.509,0.827,0,-7.715,1,0.0782,0.0409,0.0,0.12,0.743,135.601,audio_features,1lqMLr9Wj7SM2F9AikGcxN,https://api.spotify.com/v1/tracks/1lqMLr9Wj7SM2F9AikGcxN,https://api.spotify.com/v1/audio-analysis/1lqMLr9Wj7SM2F9AikGcxN,512733,4
Tangled up in Blue,Bob Dylan,spotify:track:6Vcwr9tb3ZLO63F8DL8cqu,0.421,0.661,9,-13.126,1,0.0433,0.414,1.16e-06,0.0962,0.554,100.965,audio_features,6Vcwr9tb3ZLO63F8DL8cqu,https://api.spotify.com/v1/tracks/6Vcwr9tb3ZLO63F8DL8cqu,https://api.spotify.com/v1/audio-analysis/6Vcwr9tb3ZLO63F8DL8cqu,341627,4
Simple Twist of Fate,Bob Dylan,spotify:track:3wAX3qn53iQUFE84hpfeen,0.409,0.264,4,-16.273,1,0.0363,0.665,0.00016,0.102,0.355,137.16,audio_features,3wAX3qn53iQUFE84hpfeen,https://api.spotify.com/v1/tracks/3wAX3qn53iQUFE84hpfeen,https://api.spotify.com/v1/audio-analysis/3wAX3qn53iQUFE84hpfeen,256800,4
You're a Big Girl Now,Bob Dylan,spotify:track:4ukHl5HFRNARRnIWc4Oj83,0.597,0.308,7,-16.527,1,0.0452,0.795,4.03e-05,0.0469,0.413,75.414,audio_features,4ukHl5HFRNARRnIWc4Oj83,https://api.spotify.com/v1/tracks/4ukHl5HFRNARRnIWc4Oj83,https://api.spotify.com/v1/audio-analysis/4ukHl5HFRNARRnIWc4Oj83,272200,4
Idiot Wind,Bob Dylan,spotify:track:1nbGN4N63uCQq0pCIs3kIf,0.431,0.543,7,-12.507,1,0.0488,0.354,8.98e-05,0.106,0.619,157.384,audio_features,1nbGN4N63uCQq0pCIs3kIf,https://api.spotify.com/v1/tracks/1nbGN4N63uCQq0pCIs3kIf,https://api.spotify.com/v1/audio-analysis/1nbGN4N63uCQq0pCIs3kIf,467493,4
You're Gonna Make Me Lonesome When You Go,Bob Dylan,spotify:track:64MISVB9IIchhOKmWHftoz,0.437,0.381,9,-15.016,1,0.0433,0.512,0.000104,0.0984,0.698,109.74,audio_features,64MISVB9IIchhOKmWHftoz,https://api.spotify.com/v1/tracks/64MISVB9IIchhOKmWHftoz,https://api.spotify.com/v1/audio-analysis/64MISVB9IIchhOKmWHftoz,174733,4
Meet Me in the Morning,Bob Dylan,spotify:track:53ygARQf1f30Z0EmXPHWGT,0.555,0.467,9,-14.698,1,0.0443,0.0809,0.000983,0.0707,0.591,145.268,audio_features,53ygARQf1f30Z0EmXPHWGT,https://api.spotify.com/v1/tracks/53ygARQf1f30Z0EmXPHWGT,https://api.spotify.com/v1/audio-analysis/53ygARQf1f30Z0EmXPHWGT,258973,4
"Lily, Rosemary and the Jack of Hearts",Bob Dylan,spotify:track:4MKun9QQhoapVvhp2uxJif,0.457,0.665,2,-13.722,1,0.0821,0.414,0.0,0.0948,0.667,126.33,audio_features,4MKun9QQhoapVvhp2uxJif,https://api.spotify.com/v1/tracks/4MKun9QQhoapVvhp2uxJif,https://api.spotify.com/v1/audio-analysis/4MKun9QQhoapVvhp2uxJif,531160,4
